name,category,type,source
"Metadrenalines","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Met-haemoglobin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Methotrexate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mitochondrial antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"MOG","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mouth swab","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"MPO","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mpox/Orthopox PCR","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"MRSA","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mucin – Special Stain","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mumps IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mumps IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Muscle Specific Tyrosine Kinase (MUSK)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"MUSK","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mycobacteria – microscopy/culture","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mycobacterium PCR","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Mycoplasma PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Myelin Associated Glycoprotein (MAG)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Myeloperoxidase (MPO) antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Myositis Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Naïve Memory and Effector T Cell Subsets","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neck FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neisseria meningitidis isolate characterisation","Reference Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neisseria meningitidis: Functional antibody to serogroup B by Serum Bactericidal Antibody Assay (SBA)","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neisseria meningitidis: Functional antibody to serogroups A, C, W and Y by internationally standardised serum bactericidal antibody assays","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neisseria meningitidis: Minimum inhibitory concentration","Reference Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neisseria meningitidis: Serogrouping and outer membrane typing","Reference Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Neutrophil Function (DHR) Test","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"NMDA – N-methyl-D-aspartate receptor antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Non-specific inflammatory arthropathies","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Non-specific non-inflammatory arthropathies","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Norovirus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Nose Swab","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"NT-proBNP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Oesophageal brushings","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Oestradiol","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Oral Anticoagulant Control (INR)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Orosomucoid","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Osmolality (Blood and Urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Osmolar Gap (calculated as: calculated osmolality – measured osmolality. Calculated osmolality is 2 x (Na + K) + glucose + urea)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Osteoarthritis","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ova, Cysts and Parasites","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ovarian cyst FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ovary antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"P1NP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"P3NP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pancreatic FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Paracetamol","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Paraneoplastic Neuronal Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Parasites","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Paratesticular FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Parathyroid hormone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Parvovirus B19 IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Parvovirus B19 IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Parvovirus B19 viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Perinatal post mortems","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Peritoneal fluid","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Peritoneal Fluids","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Peritoneal washings","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pernasal swab (for pertussis)","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"pH (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Phenobarbitone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Phenytoin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Phosphate (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PIIINP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PLA2R Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Plasma viscosity","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Platelet Glycoprotein Expression","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Platelets Aggregation Studies","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pleural fluid","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PLGF","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pneumococcal PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pneumococcal serotype-specific IgG","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pneumococcal urinary antigen detection","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pneumocystis jirovecii PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Polyoma viruses (BK)","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Polysaccharide antigen detection","Reference Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Post Trachelectomy Cytology","Gynaecological Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Potassium","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PR3 autoantibodies (cANCA)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pregnancy test (blood)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Procalcitonin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Procollagen III Peptide","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Progesterone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Prolactin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Prostate Specific Antigen","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Protein C","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Protein creatinine ratio (urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Protein S","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Prothrombin time","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Prothrombin G20210A Mutation screen","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pseudogout (pyrophosphate crystals)","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PTH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Pus","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"PVIS","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Q Fever Serology and PCR (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Quiescent gout (urate crystals)","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rapid/routine Carbapenemase-Producing Enterobacteriaceae (CPE) Screen","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Reducing substances (faeces only)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Renal FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Renin concentration","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Resin embedding/thin sectioning Electron Microscopy","Histopathology / Anatomic Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Respiratory screen","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Respiratory specimens","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Respiratory virus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Reticulocyte count","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Retroperitoneal mass FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rheumatoid factor","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ribosomal","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"RIPA","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ristocetin induced platelet aggregation (RIPA)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rotavirus PCR – enteric","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Routine haemoglobinopathy screening","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rubella Avidity (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rubella IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Rubella IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Salicylate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Salivary gland FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sapovirus PCR – enteric","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Schistosoma haematobium","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Selenium","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sero-negative arthropathies","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sero-negative spondylarthropathies","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum 17-hydroxyprogesterone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum ferritin","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum folate","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum intrinisic factor antibodies","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum paraprotein identification/quantification","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum Protein Electrophoresis","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Serum vitamin B12","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"SHBG","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sirolimus","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Skin antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Skin, superficial, non-surgical wounds","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Smooth muscle mitochondrial antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sodium (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Splenic FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sputum","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ß2 Microglobulin","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Staphylococcal serology – AST (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Stem cell sterility check","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sterile fluids","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Stool for Sugar chromatography (paediatric only)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Streptococcal serology – Antistreptolysin O (ASO)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Streptococcus pneumoniae serology","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Subcutaneous mass FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Sweat tests","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Syphilis antibody","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Syphilis confirmation including Immunoblot","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Syphilis IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"T Cell Activation Panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"T&B Lymphocyte Subsets","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Tacrolimus (FK506, prograf)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"TB examination (microscopy)","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"TB Gamma Interferon Release Assay (Quantiferon)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Testicular FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Testis antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Testosterone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Tetanus antibodies","Vaccine Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Theophylline","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Therapeutic Drug Monitoring of anti-TNF therapies Infliximab and Adalimumab","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thiopental","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thiopurine metabolites","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thiopurine Methyltransferase (TPMT)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Throat Swab","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thyroid FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thyroid peroxidase (TPO) antibodies","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Thyroid Stimulating Hormone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Tips","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Tissue and biopsies","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Tobramycin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Total Protein","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Toxoplasma PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Toxoplasma serology (avidity)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Toxoplasma serology (IgG)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Toxoplasma serology (IgM)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"TPO","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Transferrin (and saturation)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Treponema pallidum (syphilis) PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Treponema pallidum confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Treponema pallidum screen","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Triglycerides","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Triiodothyronine (free T3)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Troponin T","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"TSH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"TSH Receptor Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Type I Procollagen N terminal Peptide","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Universal Antenatal Haemoglobinopathy Screening","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Urate (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Urea (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ureteric washing","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Urethral washing","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Urine (voided, catheterised, instrumented or from ileal conduit)","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Urines","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Wear and/or loosening of prosthetic joints","Synovial Fluid Analysis","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Wounds – Skin, Superficial, Non-surgical","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Xanthochromia Screen (CSF)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Zinc","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Zinc Transporter 8 (ZnT8) antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
